"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows","org.eclipse.datatools.sqltools.result.terminate"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Edit","Run Query command","Ctrl+Enter","Editing HQL","org.hibernate.eclipse.console.actions.ExecuteHQLActionCommand"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows","org.eclipse.jdt.debug.ui.localJavaShortcut.run"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows","org.eclipse.m2e.core.pomFileAction.run"
"File","Rename","Ctrl+Shift+R","In Windows","org.eclipse.ui.edit.rename"
"JET Refactor Actions","Show Refactor Quick Menu","Alt+Shift+T","Editing JET Source","org.eclipse.codegen.ui.jet.refactor.quickmenu"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor","org.eclipse.pde.ui.edit.text.format"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows","org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples.tableschemaeditor.pastecolumn"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Text Editing","Move Lines Down","Alt+Down","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Emmet","Split/Join Tag","Ctrl+U","Editing Text","io.emmet.eclipse.commands.split_join_tag"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows","org.eclipse.jdt.ui.edit.text.java.surround.with.quickMenu"
"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"Server","Publish","Ctrl+Alt+P","In Servers View","org.eclipse.wst.server.publish"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.assignToLocal.assist"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggleMarkOccurrences"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.enclosing"
"Edit","Word Completion","Alt+/","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Language Servers","Go to Symbol in File","Ctrl+O","Editing Text","org.eclipse.lsp4e.symbolinfile"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"WindowBuilder Pro","Switch Source/Design Editors","Shift+F12","Editing Text","org.eclipse.wb.core.xml.editor.actions.SwitchPairEditorAction"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows","org.eclipse.datatools.sqltools.result.removeInstance"
"Emmet","Expand Abbreviation","Ctrl+E","Editing Text","io.emmet.eclipse.commands.expand_abbreviation"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Search","Find Text in Working Set","Ctrl+Shift+T, S","In Windows","org.eclipse.search.ui.performTextSearchWorkingSet"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows","org.eclipse.debug.ui.commands.SkipAllBreakpoints"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows","org.eclipse.m2e.core.ui.command.openPom"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.indent"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus","org.eclipse.tm.terminal.copy"
"JET Source Actions","Format","Ctrl+Shift+F","Editing JET Source","org.eclipse.codegen.ui.jet.format"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.renameInFile.assist"
"Emmet","Wrap With Abbreviation...","Ctrl+Shift+A","Editing Text","io.emmet.eclipse.commands.wrap_with_abbreviation"
"Emmet","Match Pair Inward","Ctrl+Shift+D","Editing Text","io.emmet.eclipse.commands.match_pair_inward"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View","org.eclipse.debug.ui.commands.addMemoryMonitor"
"Refactor - Java","Extract Interface","Ctrl+E, I","Editing SQL","org.eclipse.jdt.ui.edit.text.java.extract.interface"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source","org.eclipse.m2e.core.ui.command.addDependency"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows","org.eclipse.wst.xsl.debug.ui.launchshortcut.run"
"Project","Build All","Ctrl+B","In Windows","org.eclipse.ui.project.buildAll"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View","org.eclipse.wst.jsdt.ui.navigate.open.type.in.hierarchy"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Window","(Re)start","Ctrl+Alt+Shift+B, R","In Windows","org.springframework.ide.eclipse.boot.dash.boot.dash.RestartAction"
"Git","Collapse Working Tree","Ctrl+Left","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCollapseWorkingTree"
"File","New (Project)","Ctrl+N, P","In Windows","org.eclipse.ui.newWizard"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.open.hierarchy"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.nextSibling"
"Run/Debug","Run to Line","Ctrl+R","Debugging","org.eclipse.debug.ui.commands.RunToLine"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JET Source","org.eclipse.jdt.ui.edit.text.java.select.previous"
"Run/Debug","Use Step Filters","Shift+F5","In Windows","org.eclipse.debug.ui.commands.ToggleStepFilters"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows","org.eclipse.jdt.debug.ui.commands.AllInstances"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Navigate","Previous Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"YEdit","Toggle Comment","Ctrl+Shift+C","YEdit editor context","org.dadacoalition.yedit.commands.toggleComment"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows","org.eclipse.tm.terminal.view.ui.command.launchToolbar"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles","org.eclipse.jdt.ui.edit.text.java.format"
"Refactor - Java","Replace Invocations","Ctrl+H","In Windows","org.eclipse.jdt.ui.edit.text.java.replace.invocations"
"File","New (JSP File)","Ctrl+N, J","In Windows","org.eclipse.ui.newWizard"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source","org.eclipse.jdt.ui.edit.text.remove.occurrence.annotations"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.ExecuteAsOneStatementAction"
"Search","Find Text in File","Ctrl+Shift+T, F","WindowBuilder Java scope","org.eclipse.search.ui.performTextSearchFile"
"Source","Toggle Comment","Ctrl+/","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Source","Organize Imports","Ctrl+Shift+O","In Windows","org.eclipse.jdt.ui.edit.text.java.organize.imports"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows","org.eclipse.ant.ui.antShortcut.debug"
"File","New (Java Project)","Ctrl+N, P","In Windows","org.eclipse.ui.newWizard"
"Text Editing","Delete Line","Ctrl+D","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Source","Add Text Block","Ctrl+Shift+'","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.textblock"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.show.outline"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering","org.eclipse.debug.ui.command.prevpage"
"Run/Debug","Debug","Ctrl+Shift+D","In Windows","org.eclipse.debug.ui.commands.DebugLast"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.ExecuteSQLAction"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows","org.eclipse.jdt.ui.navigate.open.type.in.hierarchy"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.debug"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source","org.eclipse.jdt.ui.correction.extractMethodInplace.assist"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.quick_outline"
"Navigate","Open Declaration","F3","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.editor"
"Edit","Rename","Alt+Shift+R","Editing JSP Source","org.eclipse.jst.jsp.ui.refactor.rename"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.format"
"WindowBuilder Pro","Switch Source/Design Views","F12","WindowBuilder XML scope","org.eclipse.wb.core.xml.editor.actions.SwitchAction"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows","org.eclipse.emf.codegen.ecore.ui.Generate"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Refactor - Java","Extract Local Variable","Ctrl+E, V","Editing JET Source","org.eclipse.jdt.ui.edit.text.java.extract.local.variable"
"Spring Generic Text Editor","Toggle Comment","Ctrl+/","Editing Text","org.springframework.tooling.boot.ls.ToggleComment"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Window","Update Maven Project","Alt+F5","In Windows","org.eclipse.m2e.core.ui.command.updateProject"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows","org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Navigate","Next Edit Location","Ctrl+Alt+Right","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Navigate","Forward History","Alt+Right","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus","org.eclipse.tm.terminal.quickaccess"
"File","Save All","Ctrl+Shift+S","In Windows","org.eclipse.ui.file.saveAll"
"Views","Show View","Alt+Shift+Q, D","In Windows","org.eclipse.ui.views.showView"
"Source","Format","Ctrl+Shift+F","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.format"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"YEdit","Format","Ctrl+Shift+F","YEdit editor context","org.dadacoalition.yedit.command.formatDocument"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Window","Find Actions","Ctrl+3","In Windows","org.eclipse.ui.window.quickAccess"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows","org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source","org.eclipse.jst.jsp.ui.add.imports"
"Search","Find Text in Project","Ctrl+Shift+T, P","WindowBuilder Java scope","org.eclipse.search.ui.performTextSearchProject"
"TM4E Language Configuration","Remove Block Comment","Ctrl+Shift+\","Editing Text","org.eclipse.tm4e.languageconfiguration.removeblockcommentcommand"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.document"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.active.elements"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows","org.eclipse.pde.ui.openPluginArtifact"
"Search","Declaration in Workspace","Ctrl+G","In Windows","org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"JET Refactor Actions","Rename","Alt+Shift+R","Editing JET Source","org.eclipse.codegen.ui.jet.rename"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.goto.previous.member"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text","org.eclipse.ui.edit.text.copyLineDown"
"Refactor - Java","Extract Method","Ctrl+E, M","In Windows","org.eclipse.jdt.ui.edit.text.java.extract.method"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder XML scope","org.eclipse.wb.core.commands.empty"
"Run/Debug","Execute","Ctrl+U","In Windows","org.eclipse.jdt.debug.ui.commands.Execute"
"Run/Debug","Step Return","F7","Debugging","org.eclipse.debug.ui.commands.StepReturn"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View","org.eclipse.debug.ui.commands.closeRendering"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.references.in.workspace"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.next"
"Text Editing","Zoom Out","Ctrl+-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"JET Source Actions","Show Source Quick Menu","Alt+Shift+S","Editing JET Source","org.eclipse.codegen.ui.jet.source.quickmenu"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.editor.showCheatSheetCommand"
"Search","References in Workspace","Ctrl+Shift+G","In Windows","org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.debug"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source","org.eclipse.m2e.core.ui.command.addPlugin"
"Ansi Console Commands","Copy text without escapes","Ctrl+C","In Console View","AnsiConsole.command.copy_without_escapes"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.run"
"Window","Open Config","Ctrl+Alt+Shift+B, F","In Windows","org.springframework.ide.eclipse.boot.dash.boot.dash.OpenLaunchConfigAction"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus","org.eclipse.tm.terminal.maximize"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source","org.eclipse.jdt.ui.edit.text.java.annotate.classFile"
"Edit","Move","Alt+Shift+V","Editing JSP Source","org.eclipse.jst.jsp.ui.refactor.move"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows","org.eclipse.ui.views.showView"
"Navigate","Go to Line","Ctrl+L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Edit","Toggle Comment","Ctrl+/","Editing SQL","org.eclipse.datatools.sqltools.sqleditor.toggleCommentAction"
"Refactor - Java","Extract Constant","Ctrl+E","Editing SQL","org.eclipse.jdt.ui.edit.text.java.extract.constant"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"Server","Stop","Ctrl+Alt+S","In Servers View","org.eclipse.wst.server.stop"
"Window","Stop","Ctrl+Alt+Shift+B, S","In Windows","org.springframework.ide.eclipse.boot.dash.boot.dash.StopAction"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Navigate","Goto Matching Bracket","Ctrl+Shift+P","Editing JET Source","org.eclipse.emf.codegen.ui.jet.goto.matching.bracket"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles","org.eclipse.ant.ui.renameInFile"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Emmet","Previous Edit Point","Ctrl+Alt+[","Editing Text","io.emmet.eclipse.commands.prev_edit_point"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.search.find.occurrences"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows","org.eclipse.ui.views.showView"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"Emmet","Remove Tag","Ctrl+Shift+I","Editing Text","io.emmet.eclipse.commands.remove_tag"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JET Source","org.eclipse.jdt.ui.edit.text.java.select.last"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.previous"
"Edit","Select Enclosing JET Element","Alt+Shift+PageUp","Editing JET Source","org.eclipse.emf.codegen.ui.jet.select.enclosing"
"Uncategorized","Find References","Ctrl+Shift+G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Text Editing","Page Down","P, Down","Editing JavaScript Source","org.eclipse.ui.edit.text.goto.pageDown"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Navigate","Quick Outline","Ctrl+O","PDE editor","org.eclipse.pde.ui.quickOutline"
